g = [('a', 2), ('b', 1), ('a', -2), ('b', 3), ('a', -3), ('b', -2), ('a', 1), ('b', -3), ('a', 1), ('b', 1)] n=8, fixed words = 5859
g = [('a', 2), ('b', 3), ('a', -3), ('b', -3), ('a', -1), ('b', 2), ('a', -2), ('b', -1), ('a', -3), ('b', 1)] n=8, fixed words = 5229
g = [('a', -2), ('b', 1), ('a', 2), ('b', -3), ('a', -3), ('b', -3), ('a', -3), ('b', -2), ('a', 1), ('b', 3)] n=8, fixed words = 5229
g = [('b', -2), ('a', 2), ('b', 2), ('a', -3), ('b', -3), ('a', 1), ('b', -1), ('a', -3), ('b', 1), ('a', 3)] n=8, fixed words = 6363
g = [('b', -3), ('a', 3), ('b', 1), ('a', -3), ('b', -3), ('a', -1), ('b', -2), ('a', -1), ('b', 3), ('a', 3)] n=8, fixed words = 5229
g = [('b', 1), ('a', -1), ('b', -2), ('a', -3), ('b', -1), ('a', -3), ('b', 1), ('a', 2), ('b', -3), ('a', 3)] n=8, fixed words = 5229
g = [('a', -3), ('b', -2), ('a', 1), ('b', -3), ('a', -2), ('b', 3), ('a', 1), ('b', -3), ('a', -1), ('b', 2)] n=8, fixed words = 5715
g = [('a', 3), ('b', 3), ('a', -3), ('b', -1), ('a', -2), ('b', 2), ('a', -2), ('b', 1), ('a', 3), ('b', 3)] n=8, fixed words = 5229
g = [('b', -3), ('a', -2), ('b', -2), ('a', 3), ('b', -1), ('a', -3), ('b', 2), ('a', 2), ('b', -1), ('a', -2)] n=8, fixed words = 5229
g = [('a', -3), ('b', -3), ('a', -2), ('b', -3), ('a', 3), ('b', 1), ('a', 2), ('b', 2), ('a', -3), ('b', -2)] n=8, fixed words = 5715
g = [('b', -3), ('a', 1), ('b', -1), ('a', -3), ('b', -1), ('a', 1), ('b', -2), ('a', 3), ('b', 3), ('a', -1)] n=8, fixed words = 5229
g = [('a', -3), ('b', 2), ('a', 2), ('b', 3), ('a', 1), ('b', 1), ('a', 3), ('b', 1), ('a', 2), ('b', -2)] n=8, fixed words = 5229
g = [('b', 3), ('a', -2), ('b', 1), ('a', -3), ('b', -2), ('a', -2), ('b', -3), ('a', 2), ('b', 3), ('a', 1)] n=8, fixed words = 5229
g = [('b', 2), ('a', -1), ('b', 1), ('a', 1), ('b', 2), ('a', -3), ('b', 3), ('a', 1), ('b', -3), ('a', -1)] n=8, fixed words = 5706
g = [('b', 2), ('a', 1), ('b', -2), ('a', 1), ('b', 2), ('a', -2), ('b', 2), ('a', -2), ('b', -2), ('a', -3)] n=8, fixed words = 5229
g = [('b', -1), ('a', 3), ('b', -2), ('a', 3), ('b', -3), ('a', -1), ('b', -3), ('a', -1), ('b', -2), ('a', 2)] n=8, fixed words = 5715
g = [('b', 3), ('a', 2), ('b', 1), ('a', 1), ('b', -1), ('a', -3), ('b', -1), ('a', 2), ('b', 2), ('a', -2)] n=8, fixed words = 5877
g = [('b', 1), ('a', 2), ('b', -3), ('a', 3), ('b', -2), ('a', -1), ('b', -2), ('a', -3), ('b', 2), ('a', -3)] n=8, fixed words = 5229
g = [('b', -1), ('a', 1), ('b', 3), ('a', 3), ('b', 2), ('a', -3), ('b', -1), ('a', 2), ('b', 3), ('a', -3)] n=8, fixed words = 6363
g = [('a', 1), ('b', -3), ('a', -1), ('b', -1), ('a', -3), ('b', 2), ('a', 1), ('b', -1), ('a', 3), ('b', -2)] n=8, fixed words = 5229
g = [('b', -1), ('a', 1), ('b', 2), ('a', -1), ('b', -1), ('a', -2), ('b', -1), ('a', -3), ('b', 3), ('a', -2)] n=8, fixed words = 5229
g = [('a', 1), ('b', 2), ('a', -1), ('b', -1), ('a', -1), ('b', -3), ('a', 2), ('b', 3), ('a', -3), ('b', -3)] n=8, fixed words = 5229
g = [('b', -3), ('a', -1), ('b', 1), ('a', -2), ('b', -3), ('a', 3), ('b', 1), ('a', 3), ('b', -2), ('a', -3)] n=8, fixed words = 6363
g = [('a', -2), ('b', -2), ('a', 1), ('b', 3), ('a', 2), ('b', 1), ('a', -2), ('b', -3), ('a', 1), ('b', -2)] n=8, fixed words = 6363
g = [('b', -1), ('a', 2), ('b', -3), ('a', -1), ('b', -2), ('a', -1), ('b', 1), ('a', 3), ('b', -2), ('a', 3)] n=8, fixed words = 5706
g = [('b', -3), ('a', 2), ('b', -2), ('a', -2), ('b', -3), ('a', 2), ('b', 2), ('a', 1), ('b', 2), ('a', -2)] n=8, fixed words = 5229
g = [('a', -2), ('b', 3), ('a', 2), ('b', 3), ('a', -2), ('b', 3), ('a', 1), ('b', -3), ('a', -1), ('b', -2)] n=8, fixed words = 5229
g = [('a', 2), ('b', -1), ('a', -1), ('b', -2), ('a', -2), ('b', 1), ('a', -2), ('b', 2), ('a', 1), ('b', 1)] n=8, fixed words = 5229
g = [('b', -2), ('a', -3), ('b', -1), ('a', -3), ('b', 3), ('a', -1), ('b', -1), ('a', -3), ('b', 3), ('a', 1)] n=8, fixed words = 5850
g = [('b', 1), ('a', 1), ('b', -3), ('a', 1), ('b', -3), ('a', 1), ('b', 3), ('a', 1), ('b', -2), ('a', -3)] n=8, fixed words = 5229
g = [('a', 3), ('b', -1), ('a', 1), ('b', 3), ('a', 1), ('b', 2), ('a', -2), ('b', -1), ('a', -3), ('b', 3)] n=8, fixed words = 6363
g = [('b', 1), ('a', 2), ('b', 2), ('a', -1), ('b', -3), ('a', 3), ('b', -2), ('a', 1), ('b', -3), ('a', 3)] n=8, fixed words = 5229
g = [('b', -1), ('a', 1), ('b', -2), ('a', -1), ('b', -3), ('a', -2), ('b', -2), ('a', -2), ('b', -2), ('a', 2)] n=8, fixed words = 5229
g = [('a', -2), ('b', -2), ('a', 3), ('b', 1), ('a', 3), ('b', 2), ('a', -1), ('b', -2), ('a', -2), ('b', -3)] n=8, fixed words = 5229
g = [('a', -3), ('b', 1), ('a', 3), ('b', 1), ('a', -2), ('b', -3), ('a', -2), ('b', 2), ('a', -1), ('b', -2)] n=8, fixed words = 5229
g = [('a', 1), ('b', -2), ('a', 1), ('b', 2), ('a', 3), ('b', -3), ('a', 1), ('b', 2), ('a', -3), ('b', 3)] n=8, fixed words = 5697
g = [('a', -2), ('b', 2), ('a', -2), ('b', 3), ('a', -1), ('b', 2), ('a', -3), ('b', 3), ('a', 2), ('b', -2)] n=8, fixed words = 5706
g = [('b', -1), ('a', -2), ('b', -1), ('a', -1), ('b', -1), ('a', -3), ('b', -1), ('a', 2), ('b', 2), ('a', -2)] n=8, fixed words = 5706
g = [('b', -2), ('a', 3), ('b', -2), ('a', 3), ('b', 2), ('a', 1), ('b', -2), ('a', 3), ('b', 3), ('a', -1)] n=8, fixed words = 5841
g = [('a', 2), ('b', 2), ('a', 3), ('b', 1), ('a', 1), ('b', 1), ('a', 2), ('b', 1), ('a', -1), ('b', 2)] n=8, fixed words = 5229
g = [('a', -3), ('b', -3), ('a', 3), ('b', -3), ('a', -2), ('b', 3), ('a', 2), ('b', -2), ('a', 1), ('b', -2)] n=8, fixed words = 5229
g = [('b', -2), ('a', 3), ('b', 3), ('a', 1), ('b', -2), ('a', -1), ('b', 1), ('a', -1), ('b', 3), ('a', -2)] n=8, fixed words = 6363
g = [('a', 2), ('b', -3), ('a', 1), ('b', 2), ('a', 1), ('b', 2), ('a', -1), ('b', 1), ('a', 1), ('b', 3)] n=8, fixed words = 5229
g = [('b', 2), ('a', -2), ('b', -2), ('a', -3), ('b', -1), ('a', -1), ('b', -3), ('a', -1), ('b', 3), ('a', 1)] n=8, fixed words = 5715
g = [('b', -2), ('a', -2), ('b', -1), ('a', -3), ('b', 3), ('a', 3), ('b', 1), ('a', 2), ('b', -3), ('a', 2)] n=8, fixed words = 5229
g = [('a', -3), ('b', 1), ('a', 1), ('b', -2), ('a', 1), ('b', -1), ('a', -3), ('b', -3), ('a', 3), ('b', 1)] n=8, fixed words = 5229
g = [('a', -1), ('b', -3), ('a', -1), ('b', -2), ('a', 2), ('b', -3), ('a', -1), ('b', -1), ('a', -2), ('b', -1)] n=8, fixed words = 5697
g = [('b', 3), ('a', -1), ('b', -3), ('a', 2), ('b', -3), ('a', 1), ('b', 3), ('a', -2), ('b', 3), ('a', 3)] n=8, fixed words = 6237
g = [('b', -1), ('a', -1), ('b', 3), ('a', -1), ('b', -2), ('a', 2), ('b', 3), ('a', 1), ('b', 3), ('a', -3)] n=8, fixed words = 5715
g = [('a', 3), ('b', -1), ('a', -3), ('b', -1), ('a', -3), ('b', -1), ('a', 2), ('b', 3), ('a', 2), ('b', 2)] n=8, fixed words = 5229
g = [('b', 1), ('a', 3), ('b', 2), ('a', -3), ('b', 2), ('a', -1), ('b', 1), ('a', -3), ('b', 1), ('a', 1)] n=8, fixed words = 5706
g = [('a', 1), ('b', 2), ('a', -2), ('b', -3), ('a', -1), ('b', 2), ('a', 3), ('b', 2), ('a', -1), ('b', 2)] n=8, fixed words = 5877
g = [('b', -3), ('a', 3), ('b', -2), ('a', -2), ('b', 2), ('a', 1), ('b', -2), ('a', -1), ('b', 1), ('a', -1)] n=8, fixed words = 5868
g = [('a', 3), ('b', -2), ('a', 3), ('b', 1), ('a', -1), ('b', -2), ('a', 1), ('b', 2), ('a', 3), ('b', 2)] n=8, fixed words = 5850
g = [('b', -1), ('a', 1), ('b', 3), ('a', 2), ('b', 1), ('a', -1), ('b', -2), ('a', 1), ('b', -2), ('a', 2)] n=8, fixed words = 5229
g = [('a', 1), ('b', -2), ('a', -1), ('b', 2), ('a', -1), ('b', -3), ('a', 3), ('b', 3), ('a', 1), ('b', 2)] n=8, fixed words = 5706
g = [('b', 2), ('a', 1), ('b', -3), ('a', -1), ('b', -3), ('a', 2), ('b', 1), ('a', 3), ('b', 2), ('a', 1)] n=8, fixed words = 5715
g = [('b', 1), ('a', 3), ('b', 1), ('a', -1), ('b', 1), ('a', -3), ('b', 2), ('a', -2), ('b', -3), ('a', -1)] n=8, fixed words = 5229
g = [('a', -1), ('b', -2), ('a', 3), ('b', 2), ('a', 3), ('b', -3), ('a', -2), ('b', 1), ('a', -1), ('b', 2)] n=8, fixed words = 5877
g = [('a', 3), ('b', -2), ('a', 3), ('b', 2), ('a', 1), ('b', 1), ('a', 2), ('b', -2), ('a', 2), ('b', -2)] n=8, fixed words = 5697
g = [('a', -1), ('b', 2), ('a', -2), ('b', 2), ('a', 2), ('b', 1), ('a', -2), ('b', -2), ('a', 1), ('b', -3)] n=8, fixed words = 5868
g = [('b', 3), ('a', 3), ('b', -1), ('a', -3), ('b', 3), ('a', 1), ('b', -2), ('a', 3), ('b', -1), ('a', -1)] n=8, fixed words = 5715
g = [('b', 1), ('a', 3), ('b', -3), ('a', -3), ('b', 3), ('a', 2), ('b', -1), ('a', -3), ('b', -1), ('a', 1)] n=8, fixed words = 5868
g = [('a', -3), ('b', -2), ('a', 2), ('b', 2), ('a', -1), ('b', -3), ('a', -2), ('b', -3), ('a', -2), ('b', -2)] n=8, fixed words = 5706
g = [('b', 3), ('a', 2), ('b', 2), ('a', -3), ('b', 3), ('a', -3), ('b', 3), ('a', -3), ('b', -2), ('a', -1)] n=8, fixed words = 5850
g = [('a', 3), ('b', -3), ('a', 3), ('b', 3), ('a', -3), ('b', -3), ('a', -3), ('b', -3), ('a', 2), ('b', 3)] n=8, fixed words = 5715
g = [('a', 3), ('b', 1), ('a', -1), ('b', -2), ('a', 3), ('b', 2), ('a', -3), ('b', -1), ('a', 3), ('b', 3)] n=8, fixed words = 5715
g = [('a', 3), ('b', -1), ('a', 1), ('b', 3), ('a', 3), ('b', -3), ('a', 1), ('b', -1), ('a', -1), ('b', 3)] n=8, fixed words = 5229
g = [('b', -1), ('a', 2), ('b', -2), ('a', 1), ('b', -3), ('a', 1), ('b', -2), ('a', -3), ('b', 3), ('a', 1)] n=8, fixed words = 5229
g = [('a', -1), ('b', -2), ('a', -3), ('b', 1), ('a', -3), ('b', 2), ('a', -1), ('b', -2), ('a', 2), ('b', 2)] n=8, fixed words = 5697
g = [('b', 2), ('a', 1), ('b', -3), ('a', -3), ('b', -2), ('a', -1), ('b', -3), ('a', -3), ('b', -3), ('a', -3)] n=8, fixed words = 6471
g = [('b', 1), ('a', -3), ('b', 2), ('a', -3), ('b', -2), ('a', 3), ('b', -2), ('a', -2), ('b', 2), ('a', 1)] n=8, fixed words = 5229
g = [('b', 2), ('a', -2), ('b', 2), ('a', -3), ('b', -2), ('a', 3), ('b', -2), ('a', -3), ('b', 3), ('a', -2)] n=8, fixed words = 5706
g = [('b', 2), ('a', 1), ('b', -2), ('a', -3), ('b', -1), ('a', 1), ('b', -3), ('a', 1), ('b', 1), ('a', -1)] n=8, fixed words = 5715
g = [('b', 1), ('a', 3), ('b', -1), ('a', -1), ('b', -3), ('a', 1), ('b', -3), ('a', -3), ('b', 2), ('a', 2)] n=8, fixed words = 5229
g = [('b', -3), ('a', 3), ('b', 2), ('a', 1), ('b', -3), ('a', 1), ('b', 3), ('a', -3), ('b', -3), ('a', -3)] n=8, fixed words = 5229
g = [('a', 1), ('b', -3), ('a', -2), ('b', -1), ('a', -1), ('b', 2), ('a', 3), ('b', 2), ('a', -3), ('b', 1)] n=8, fixed words = 5229
g = [('b', 2), ('a', -2), ('b', 2), ('a', 1), ('b', -2), ('a', 2), ('b', 3), ('a', -2), ('b', -1), ('a', -1)] n=8, fixed words = 5229
g = [('a', 2), ('b', 2), ('a', 1), ('b', -3), ('a', -3), ('b', 1), ('a', -3), ('b', -1), ('a', -3), ('b', 2)] n=8, fixed words = 5706
g = [('b', -2), ('a', -2), ('b', -2), ('a', -1), ('b', -2), ('a', 3), ('b', 2), ('a', -1), ('b', -3), ('a', -2)] n=8, fixed words = 5706
g = [('a', 1), ('b', 3), ('a', -1), ('b', -2), ('a', 1), ('b', 2), ('a', -2), ('b', -3), ('a', -1), ('b', 2)] n=8, fixed words = 5229
g = [('a', -1), ('b', 1), ('a', -1), ('b', 1), ('a', 3), ('b', -2), ('a', -3), ('b', 2), ('a', 2), ('b', 3)] n=8, fixed words = 5868
g = [('b', -3), ('a', -3), ('b', 2), ('a', -2), ('b', 2), ('a', -3), ('b', -2), ('a', -1), ('b', 1), ('a', 2)] n=8, fixed words = 5877
g = [('a', 1), ('b', 3), ('a', 3), ('b', 3), ('a', -1), ('b', -1), ('a', -1), ('b', -3), ('a', 1), ('b', 2)] n=8, fixed words = 5715
g = [('a', -1), ('b', -3), ('a', -2), ('b', 2), ('a', 1), ('b', 1), ('a', -1), ('b', -1), ('a', 1), ('b', 3)] n=8, fixed words = 5229
g = [('a', 2), ('b', -1), ('a', 3), ('b', 3), ('a', -1), ('b', -2), ('a', -2), ('b', 1), ('a', 1), ('b', -2)] n=8, fixed words = 5706
g = [('a', 2), ('b', 3), ('a', -1), ('b', 1), ('a', 3), ('b', 3), ('a', -3), ('b', 2), ('a', -3), ('b', 2)] n=8, fixed words = 5229
g = [('a', 1), ('b', -2), ('a', -1), ('b', 2), ('a', 1), ('b', 1), ('a', -2), ('b', -3), ('a', 1), ('b', -2)] n=8, fixed words = 5877
g = [('b', 3), ('a', -3), ('b', -1), ('a', 1), ('b', -2), ('a', 1), ('b', 2), ('a', 2), ('b', 2), ('a', 1)] n=8, fixed words = 5229
g = [('a', 3), ('b', -2), ('a', -2), ('b', -3), ('a', -1), ('b', 2), ('a', 2), ('b', 2), ('a', 2), ('b', -1)] n=8, fixed words = 5229
g = [('a', -3), ('b', -1), ('a', 1), ('b', 3), ('a', 3), ('b', -1), ('a', -3), ('b', 1), ('a', 1), ('b', -1)] n=8, fixed words = 5229
g = [('b', 3), ('a', -3), ('b', 3), ('a', -1), ('b', -2), ('a', -3), ('b', -3), ('a', -1), ('b', 2), ('a', 1)] n=8, fixed words = 5715
g = [('b', -1), ('a', 3), ('b', -2), ('a', 2), ('b', 3), ('a', -2), ('b', 1), ('a', -2), ('b', -2), ('a', 3)] n=8, fixed words = 5229
g = [('b', -2), ('a', -2), ('b', -1), ('a', 1), ('b', -1), ('a', 2), ('b', -2), ('a', 1), ('b', -1), ('a', -3)] n=8, fixed words = 5229
g = [('b', -3), ('a', 1), ('b', 1), ('a', -2), ('b', -3), ('a', 2), ('b', 2), ('a', 2), ('b', 3), ('a', -1)] n=8, fixed words = 5877
g = [('a', -1), ('b', -3), ('a', 2), ('b', -1), ('a', -3), ('b', 2), ('a', 2), ('b', 2), ('a', 3), ('b', 1)] n=8, fixed words = 5715
g = [('a', -1), ('b', -3), ('a', 2), ('b', 3), ('a', -3), ('b', 2), ('a', -3), ('b', -1), ('a', -1), ('b', 3)] n=8, fixed words = 5715
g = [('a', 3), ('b', 2), ('a', -3), ('b', 2), ('a', 2), ('b', -1), ('a', -3), ('b', -3), ('a', 3), ('b', -3)] n=8, fixed words = 5715
g = [('a', -3), ('b', -3), ('a', -3), ('b', 1), ('a', 2), ('b', 3), ('a', -3), ('b', 2), ('a', 1), ('b', 3)] n=8, fixed words = 6201
g = [('a', 3), ('b', -1), ('a', -1), ('b', 3), ('a', -1), ('b', -2), ('a', 3), ('b', -1), ('a', 3), ('b', 3)] n=8, fixed words = 5229
g = [('a', 3), ('b', 3), ('a', -3), ('b', -3), ('a', 2), ('b', 3), ('a', -3), ('b', -1), ('a', 1), ('b', -2)] n=8, fixed words = 6525
g = [('b', 2), ('a', 3), ('b', -2), ('a', 2), ('b', 2), ('a', 2), ('b', -1), ('a', -2), ('b', -2), ('a', 2)] n=8, fixed words = 5229
g = [('a', 3), ('b', -2), ('a', -1), ('b', 3), ('a', 2), ('b', -1), ('a', -2), ('b', 1), ('a', -3), ('b', -1)] n=8, fixed words = 5868
g = [('a', 1), ('b', 3), ('a', 1), ('b', 3), ('a', 3), ('b', -3), ('a', 3), ('b', -2), ('a', 3), ('b', 2)] n=8, fixed words = 5715
g = [('a', -3), ('b', 1), ('a', 3), ('b', 3), ('a', -3), ('b', 1), ('a', -1), ('b', -1), ('a', -3), ('b', 3)] n=8, fixed words = 5229
g = [('a', 2), ('b', -1), ('a', 1), ('b', 2), ('a', 3), ('b', 1), ('a', 3), ('b', 3), ('a', 3), ('b', -2)] n=8, fixed words = 6201
g = [('b', 3), ('a', 3), ('b', 3), ('a', -2), ('b', 2), ('a', -3), ('b', -1), ('a', 3), ('b', -2), ('a', 2)] n=8, fixed words = 5715
g = [('b', 1), ('a', 2), ('b', 1), ('a', -3), ('b', 3), ('a', -3), ('b', -1), ('a', 1), ('b', 2), ('a', 2)] n=8, fixed words = 5715
g = [('a', 3), ('b', -3), ('a', -2), ('b', 3), ('a', -3), ('b', -1), ('a', -2), ('b', -3), ('a', -3), ('b', -3)] n=8, fixed words = 5229
g = [('b', 1), ('a', 2), ('b', 3), ('a', 2), ('b', -2), ('a', 1), ('b', 2), ('a', -2), ('b', -1), ('a', -2)] n=8, fixed words = 5697
g = [('b', -1), ('a', -3), ('b', -1), ('a', -3), ('b', -3), ('a', 1), ('b', 3), ('a', -3), ('b', 2), ('a', -3)] n=8, fixed words = 5877
g = [('b', -2), ('a', -1), ('b', 2), ('a', -3), ('b', -3), ('a', 3), ('b', -2), ('a', -2), ('b', 2), ('a', 3)] n=8, fixed words = 6399
g = [('b', 2), ('a', -3), ('b', -1), ('a', 3), ('b', -3), ('a', 3), ('b', -3), ('a', 3), ('b', -2), ('a', -2)] n=8, fixed words = 5229
g = [('a', -2), ('b', -3), ('a', 1), ('b', 1), ('a', 3), ('b', 3), ('a', 3), ('b', -1), ('a', -3), ('b', 3)] n=8, fixed words = 5715
g = [('b', -1), ('a', -2), ('b', -2), ('a', 2), ('b', -3), ('a', -3), ('b', 1), ('a', 2), ('b', -3), ('a', 3)] n=8, fixed words = 5229
g = [('a', 2), ('b', 2), ('a', 2), ('b', 2), ('a', 1), ('b', 3), ('a', 1), ('b', 1), ('a', 1), ('b', -2)] n=8, fixed words = 5706
g = [('a', 2), ('b', 1), ('a', -3), ('b', 3), ('a', 2), ('b', -3), ('a', -1), ('b', 1), ('a', -2), ('b', -1)] n=8, fixed words = 5229
g = [('a', 3), ('b', 3), ('a', -1), ('b', -3), ('a', 3), ('b', -3), ('a', -2), ('b', 3), ('a', 2), ('b', 3)] n=8, fixed words = 5715
g = [('b', 3), ('a', 1), ('b', -1), ('a', -2), ('b', 1), ('a', 2), ('b', 3), ('a', 1), ('b', 1), ('a', -2)] n=8, fixed words = 5868
g = [('b', 3), ('a', 2), ('b', -2), ('a', -1), ('b', -1), ('a', 3), ('b', 2), ('a', -2), ('b', -2), ('a', 1)] n=8, fixed words = 6363
g = [('a', -1), ('b', -2), ('a', -3), ('b', 3), ('a', -3), ('b', 2), ('a', 1), ('b', -1), ('a', 2), ('b', -1)] n=8, fixed words = 5229
g = [('b', -2), ('a', -1), ('b', -1), ('a', 2), ('b', -1), ('a', -3), ('b', 3), ('a', 1), ('b', -1), ('a', -3)] n=8, fixed words = 5229
g = [('a', -3), ('b', 1), ('a', 1), ('b', 2), ('a', 1), ('b', -2), ('a', -3), ('b', -2), ('a', -3), ('b', -1)] n=8, fixed words = 5229
g = [('b', 2), ('a', -1), ('b', -3), ('a', -3), ('b', -3), ('a', 3), ('b', 2), ('a', -2), ('b', -2), ('a', -3)] n=8, fixed words = 5715
g = [('b', -1), ('a', 3), ('b', -1), ('a', -3), ('b', -2), ('a', -1), ('b', 1), ('a', 2), ('b', -1), ('a', 1)] n=8, fixed words = 5229
g = [('b', -2), ('a', -3), ('b', 2), ('a', 1), ('b', -1), ('a', -3), ('b', 3), ('a', 2), ('b', -2), ('a', 2)] n=8, fixed words = 5877
g = [('b', 3), ('a', -1), ('b', 3), ('a', 1), ('b', 2), ('a', -1), ('b', 1), ('a', 2), ('b', -3), ('a', 1)] n=8, fixed words = 5715
g = [('b', 2), ('a', 1), ('b', -2), ('a', -3), ('b', 1), ('a', -1), ('b', 2), ('a', -2), ('b', 2), ('a', 1)] n=8, fixed words = 5229
g = [('a', -3), ('b', 2), ('a', 3), ('b', 1), ('a', 3), ('b', -3), ('a', -1), ('b', -3), ('a', -3), ('b', -1)] n=8, fixed words = 5229
g = [('a', -2), ('b', -1), ('a', 3), ('b', 2), ('a', 2), ('b', -2), ('a', 3), ('b', -2), ('a', 1), ('b', -3)] n=8, fixed words = 5706
g = [('b', 3), ('a', 2), ('b', 2), ('a', -3), ('b', 2), ('a', 1), ('b', 3), ('a', -3), ('b', -3), ('a', -1)] n=8, fixed words = 5229
g = [('b', -2), ('a', 2), ('b', -1), ('a', 2), ('b', 2), ('a', 3), ('b', -3), ('a', 1), ('b', -1), ('a', 1)] n=8, fixed words = 5832
g = [('b', 2), ('a', -3), ('b', -1), ('a', 2), ('b', -1), ('a', 2), ('b', -1), ('a', 3), ('b', 1), ('a', -1)] n=8, fixed words = 6363
g = [('a', -2), ('b', 3), ('a', 1), ('b', 2), ('a', -1), ('b', 2), ('a', 3), ('b', -1), ('a', 1), ('b', 2)] n=8, fixed words = 5229
g = [('b', 2), ('a', -2), ('b', -2), ('a', 1), ('b', -3), ('a', -3), ('b', -3), ('a', -2), ('b', -3), ('a', 2)] n=8, fixed words = 5841
g = [('a', 3), ('b', -2), ('a', -2), ('b', 2), ('a', -3), ('b', 2), ('a', 1), ('b', 3), ('a', 3), ('b', -1)] n=8, fixed words = 5229
g = [('b', 1), ('a', 1), ('b', -2), ('a', -3), ('b', 3), ('a', -1), ('b', 2), ('a', -2), ('b', -3), ('a', 2)] n=8, fixed words = 5715
g = [('a', -3), ('b', 3), ('a', 2), ('b', -2), ('a', 3), ('b', -1), ('a', -3), ('b', 1), ('a', 1), ('b', 1)] n=8, fixed words = 5868
g = [('b', -3), ('a', 2), ('b', -3), ('a', -2), ('b', 3), ('a', -2), ('b', -2), ('a', 3), ('b', -2), ('a', 3)] n=8, fixed words = 5229
g = [('a', 2), ('b', 3), ('a', -3), ('b', -1), ('a', -3), ('b', -1), ('a', -3), ('b', -1), ('a', -2), ('b', 3)] n=8, fixed words = 6372
g = [('b', -2), ('a', 1), ('b', -3), ('a', -2), ('b', -1), ('a', -2), ('b', 3), ('a', 1), ('b', 2), ('a', 2)] n=8, fixed words = 5859
g = [('a', 3), ('b', -1), ('a', 1), ('b', 1), ('a', 2), ('b', 2), ('a', -2), ('b', 3), ('a', -2), ('b', 2)] n=8, fixed words = 5229
g = [('a', 3), ('b', 2), ('a', 2), ('b', 1), ('a', 1), ('b', -3), ('a', 3), ('b', -1), ('a', -1), ('b', 3)] n=8, fixed words = 5229
g = [('b', -1), ('a', -3), ('b', -1), ('a', -2), ('b', -2), ('a', -1), ('b', -3), ('a', -1), ('b', -2), ('a', -2)] n=8, fixed words = 6453
g = [('a', 3), ('b', -2), ('a', 2), ('b', 3), ('a', -2), ('b', -2), ('a', -3), ('b', -3), ('a', 2), ('b', 2)] n=8, fixed words = 5229
g = [('b', -3), ('a', 2), ('b', 2), ('a', -3), ('b', 2), ('a', -3), ('b', 1), ('a', 2), ('b', -1), ('a', 2)] n=8, fixed words = 5868
g = [('a', -1), ('b', -2), ('a', 2), ('b', -3), ('a', -3), ('b', -2), ('a', 3), ('b', -3), ('a', 1), ('b', -1)] n=8, fixed words = 5229
g = [('a', -3), ('b', 1), ('a', -1), ('b', -2), ('a', 2), ('b', 3), ('a', 2), ('b', -3), ('a', -3), ('b', -2)] n=8, fixed words = 6201
g = [('a', 1), ('b', 3), ('a', 2), ('b', 3), ('a', 1), ('b', 1), ('a', -2), ('b', -1), ('a', -3), ('b', 2)] n=8, fixed words = 5229
g = [('b', 1), ('a', -2), ('b', 2), ('a', 1), ('b', 3), ('a', 1), ('b', -2), ('a', -1), ('b', -2), ('a', 1)] n=8, fixed words = 5859
g = [('b', -3), ('a', 2), ('b', -3), ('a', 1), ('b', -3), ('a', 2), ('b', -3), ('a', 1), ('b', 2), ('a', -3)] n=8, fixed words = 5715
g = [('b', 1), ('a', 1), ('b', 1), ('a', -3), ('b', -2), ('a', 2), ('b', -1), ('a', -1), ('b', -2), ('a', 2)] n=8, fixed words = 5697
g = [('b', -1), ('a', -2), ('b', 3), ('a', -1), ('b', 1), ('a', -2), ('b', -1), ('a', 1), ('b', 3), ('a', 1)] n=8, fixed words = 5715
g = [('b', 2), ('a', 1), ('b', -1), ('a', -2), ('b', 2), ('a', -1), ('b', -1), ('a', -2), ('b', -3), ('a', -2)] n=8, fixed words = 5697
g = [('a', -2), ('b', 2), ('a', 2), ('b', 3), ('a', -3), ('b', 3), ('a', 1), ('b', 1), ('a', -2), ('b', 3)] n=8, fixed words = 5715
g = [('b', -2), ('a', 3), ('b', 2), ('a', -3), ('b', -2), ('a', -2), ('b', 2), ('a', -3), ('b', 2), ('a', 1)] n=8, fixed words = 5229
g = [('a', 2), ('b', 3), ('a', -3), ('b', 2), ('a', -3), ('b', 3), ('a', 3), ('b', -3), ('a', 3), ('b', -1)] n=8, fixed words = 5229
g = [('a', -3), ('b', 2), ('a', 1), ('b', 1), ('a', 3), ('b', -2), ('a', 1), ('b', 3), ('a', -2), ('b', -1)] n=8, fixed words = 6363
g = [('a', -3), ('b', -3), ('a', -1), ('b', 3), ('a', 2), ('b', 2), ('a', 2), ('b', -2), ('a', 2), ('b', -2)] n=8, fixed words = 5229
g = [('a', -2), ('b', -2), ('a', -2), ('b', -1), ('a', 2), ('b', 3), ('a', -3), ('b', -2), ('a', -3), ('b', 3)] n=8, fixed words = 5229
g = [('a', 3), ('b', -3), ('a', -2), ('b', 3), ('a', 3), ('b', -3), ('a', 1), ('b', -1), ('a', -2), ('b', 2)] n=8, fixed words = 5706
g = [('a', -3), ('b', 1), ('a', -3), ('b', 3), ('a', -3), ('b', 1), ('a', -1), ('b', 1), ('a', 3), ('b', 2)] n=8, fixed words = 5229
